ANTENNA "BRUC0031"
LOCATION 670742.347 7803693.643 1098.000
FREQUENCY 2600.00000000
POWER 39.811 W EIRP
ANTENNA_TYPE ISO
LOWER_LEFT 668195.61120000 7802110.33140000
UPPER_RIGHT 671915.61120000 7804350.33140000
HEIGHT 43.00000000
RESOLUTION 20.00000000
RECEIVER_GAIN 0.00000000
               
BEGIN_DATA
668205.61120 7802120.33140 -134.18416
668205.61120 7802140.33140 -138.93298
668205.61120 7802160.33140 -143.66420
668205.61120 7802180.33140 -140.02150
668205.61120 7802200.33140 -116.31721
668205.61120 7802220.33140 -116.28491
668205.61120 7802240.33140 -116.26129
668205.61120 7802260.33140 -116.22646
668205.61120 7802280.33140 -116.20641
668205.61120 7802300.33140 -116.17983
668205.61120 7802320.33140 -116.10236
668205.61120 7802340.33140 -115.97522
668205.61120 7802360.33140 -115.88725
668205.61120 7802380.33140 -115.88796
668205.61120 7802400.33140 -115.88999
668205.61120 7802420.33140 -115.89712
668205.61120 7802440.33140 -115.90803
668205.61120 7802460.33140 -115.90837
668205.61120 7802480.33140 -115.85260
668205.61120 7802500.33140 -115.77928
668205.61120 7802520.33140 -115.73102
668205.61120 7802540.33140 -127.08568
668205.61120 7802560.33140 -133.15482
668205.61120 7802580.33140 -138.46559
668205.61120 7802600.33140 -141.49336
668205.61120 7802620.33140 -141.69066
668205.61120 7802640.33140 -139.74869
668205.61120 7802660.33140 -136.44244
668205.61120 7802680.33140 -136.99410
668205.61120 7802700.33140 -139.59572
668205.61120 7802720.33140 -141.04753
668205.61120 7802740.33140 -142.00595
668205.61120 7802760.33140 -142.41546
668205.61120 7802780.33140 -140.94210
668205.61120 7802800.33140 -139.55808
668205.61120 7802820.33140 -147.46197
668205.61120 7802840.33140 -127.60573
668205.61120 7802860.33140 -137.54563
668205.61120 7802880.33140 -115.37185
668205.61120 7802900.33140 -115.37297
668205.61120 7802920.33140 -115.36844
668205.61120 7802940.33140 -134.45654
668205.61120 7802960.33140 -146.15799
668205.61120 7802980.33140 -150.66187
668205.61120 7803000.33140 -152.67164
668205.61120 7803020.33140 -153.43246
668205.61120 7803040.33140 -152.89175
668205.61120 7803060.33140 -150.08092
668205.61120 7803080.33140 -149.54810
668205.61120 7803100.33140 -149.83257
668205.61120 7803120.33140 -151.46402
668205.61120 7803140.33140 -152.45676
668205.61120 7803160.33140 -151.76680
668205.61120 7803180.33140 -152.25165
668205.61120 7803200.33140 -152.95268
668205.61120 7803220.33140 -153.37469
668205.61120 7803240.33140 -154.00833
668205.61120 7803260.33140 -154.51716
668205.61120 7803280.33140 -154.91408
668205.61120 7803300.33140 -155.43861
668205.61120 7803320.33140 -156.45416
668205.61120 7803340.33140 -156.93560
668205.61120 7803360.33140 -157.08412
668205.61120 7803380.33140 -156.97318
668205.61120 7803400.33140 -156.69517
668205.61120 7803420.33140 -156.34367
668205.61120 7803440.33140 -155.89141
668205.61120 7803460.33140 -154.66050
668205.61120 7803480.33140 -153.65893
668205.61120 7803500.33140 -153.49743
668205.61120 7803520.33140 -153.24485
668205.61120 7803540.33140 -153.06673
668205.61120 7803560.33140 -152.89470
668205.61120 7803580.33140 -152.93333
668205.61120 7803600.33140 -152.82479
668205.61120 7803620.33140 -152.76673
668205.61120 7803640.33140 -152.74625
668205.61120 7803660.33140 -152.81912
668205.61120 7803680.33140 -152.98271
668205.61120 7803700.33140 -153.07603
668205.61120 7803720.33140 -153.22895
668205.61120 7803740.33140 -153.34854
668205.61120 7803760.33140 -153.20830
668205.61120 7803780.33140 -152.75167
668205.61120 7803800.33140 -152.81057
668205.61120 7803820.33140 -151.92512
668205.61120 7803840.33140 -151.95300
668205.61120 7803860.33140 -151.75997
668205.61120 7803880.33140 -151.62697
668205.61120 7803900.33140 -151.52554
668205.61120 7803920.33140 -151.48297
668205.61120 7803940.33140 -151.51089
668205.61120 7803960.33140 -151.25493
668205.61120 7803980.33140 -151.34096
668205.61120 7804000.33140 -151.20353
668205.61120 7804020.33140 -151.25908
668205.61120 7804040.33140 -151.04615
668205.61120 7804060.33140 -151.24051
668205.61120 7804080.33140 -151.35657
668205.61120 7804100.33140 -151.52601
668205.61120 7804120.33140 -151.65354
668205.61120 7804140.33140 -151.53504
668205.61120 7804160.33140 -151.60912
668205.61120 7804180.33140 -151.68010
668205.61120 7804200.33140 -151.64594
668205.61120 7804220.33140 -151.76498
668205.61120 7804240.33140 -151.68535
668205.61120 7804260.33140 -151.72624
668205.61120 7804280.33140 -151.79198
668205.61120 7804300.33140 -151.78767
668205.61120 7804320.33140 -151.76666
668205.61120 7804340.33140 -151.53253
668205.61120 7804360.33140 -151.62126
668225.61120 7802120.33140 -131.95606
668225.61120 7802140.33140 -138.76029
668225.61120 7802160.33140 -142.68973
668225.61120 7802180.33140 -138.40122
668225.61120 7802200.33140 -116.26353
668225.61120 7802220.33140 -116.23870
668225.61120 7802240.33140 -116.20981
668225.61120 7802260.33140 -116.18043
668225.61120 7802280.33140 -116.16020
668225.61120 7802300.33140 -116.12628
668225.61120 7802320.33140 -116.03183
668225.61120 7802340.33140 -115.90115
668225.61120 7802360.33140 -115.81280
668225.61120 7802380.33140 -115.79425
668225.61120 7802400.33140 -115.79870
668225.61120 7802420.33140 -115.80310
668225.61120 7802440.33140 -115.80838
668225.61120 7802460.33140 -115.78800
668225.61120 7802480.33140 -115.74005
668225.61120 7802500.33140 -115.67371
668225.61120 7802520.33140 -115.64142
668225.61120 7802540.33140 -130.74388
668225.61120 7802560.33140 -135.24012
668225.61120 7802580.33140 -138.40955
668225.61120 7802600.33140 -142.30133
668225.61120 7802620.33140 -141.97875
668225.61120 7802640.33140 -140.11043
668225.61120 7802660.33140 -138.76459
668225.61120 7802680.33140 -140.26916
668225.61120 7802700.33140 -142.15864
668225.61120 7802720.33140 -143.57707
668225.61120 7802740.33140 -143.97459
668225.61120 7802760.33140 -142.71466
668225.61120 7802780.33140 -140.61469
668225.61120 7802800.33140 -138.83429
668225.61120 7802820.33140 -132.64811
668225.61120 7802840.33140 -121.80071
668225.61120 7802860.33140 -115.35187
668225.61120 7802880.33140 -115.29986
668225.61120 7802900.33140 -115.25050
668225.61120 7802920.33140 -133.03552
668225.61120 7802940.33140 -145.33158
668225.61120 7802960.33140 -149.95065
668225.61120 7802980.33140 -152.27797
668225.61120 7803000.33140 -155.35341
668225.61120 7803020.33140 -155.70519
668225.61120 7803040.33140 -154.84259
668225.61120 7803060.33140 -151.48652
668225.61120 7803080.33140 -149.69744
668225.61120 7803100.33140 -150.03238
668225.61120 7803120.33140 -151.54418
668225.61120 7803140.33140 -152.22100
668225.61120 7803160.33140 -151.29779
668225.61120 7803180.33140 -151.52593
668225.61120 7803200.33140 -152.21911
668225.61120 7803220.33140 -152.72219
668225.61120 7803240.33140 -153.21261
668225.61120 7803260.33140 -154.21106
668225.61120 7803280.33140 -154.71846
668225.61120 7803300.33140 -155.28341
668225.61120 7803320.33140 -156.36484
668225.61120 7803340.33140 -156.86184
668225.61120 7803360.33140 -157.08106
668225.61120 7803380.33140 -157.01437
668225.61120 7803400.33140 -156.79991
668225.61120 7803420.33140 -156.47741
668225.61120 7803440.33140 -155.94054
668225.61120 7803460.33140 -155.36843
668225.61120 7803480.33140 -153.56997
668225.61120 7803500.33140 -153.40305
668225.61120 7803520.33140 -153.14173
668225.61120 7803540.33140 -152.95854
668225.61120 7803560.33140 -152.81799
668225.61120 7803580.33140 -152.82151
668225.61120 7803600.33140 -152.71036
668225.61120 7803620.33140 -152.65072
668225.61120 7803640.33140 -152.62970
668225.61120 7803660.33140 -152.73724
668225.61120 7803680.33140 -152.90407
668225.61120 7803700.33140 -152.96547
668225.61120 7803720.33140 -153.09081
668225.61120 7803740.33140 -153.24395
668225.61120 7803760.33140 -153.10098
668225.61120 7803780.33140 -152.63834
668225.61120 7803800.33140 -152.72909
668225.61120 7803820.33140 -151.82884
668225.61120 7803840.33140 -151.85716
668225.61120 7803860.33140 -151.66199
668225.61120 7803880.33140 -151.52724
668225.61120 7803900.33140 -151.45414
668225.61120 7803920.33140 -151.38130
668225.61120 7803940.33140 -151.43952
668225.61120 7803960.33140 -151.21124
668225.61120 7803980.33140 -151.38576
668225.61120 7804000.33140 -151.33085
668225.61120 7804020.33140 -151.41385
668225.61120 7804040.33140 -151.22577
